movieId,peopleId
11,p_2
11,p_3
11,p_4
11,p_5
11,p_6
20,p_98
20,p_99
20,p_100
20,p_101
20,p_102
20,p_103
22,p_114
22,p_116
22,p_118
11,p_130
64,p_101
64,p_398
67,p_761
67,p_762
67,p_763
67,p_764
67,p_765
67,p_766
67,p_791
99,p_953
99,p_954
99,p_955
99,p_958
99,p_961
99,p_962
99,p_963
99,p_964
99,p_965
100,p_973
100,p_974
100,p_975
100,p_976
100,p_978
100,p_980
100,p_982
100,p_984
100,p_985
100,p_986
100,p_987
100,p_988
100,p_989
100,p_990
100,p_991
100,p_992
100,p_993
100,p_994
100,p_995
101,p_1003
101,p_64
101,p_524
101,p_1004
101,p_1005
101,p_1006
101,p_1007
101,p_1008
101,p_1009
101,p_1010
102,p_1017
102,p_1018
102,p_1019
102,p_4458
102,p_1021
102,p_4459
102,p_1023
102,p_1024
102,p_1025
102,p_1026
104,p_679
104,p_677
104,p_1081
104,p_1082
104,p_1083
104,p_1084
104,p_1085
104,p_1086
104,p_1087
104,p_1088
104,p_16782
108,p_1137
108,p_1138
108,p_1139
108,p_1140
108,p_1141
108,p_1142
109,p_1145
109,p_1146
109,p_1147
109,p_1148
109,p_1149
112,p_1181
112,p_1182
112,p_1183
112,p_1184
112,p_1185
112,p_1186
79,p_1336
79,p_1337
79,p_1338
79,p_1339
79,p_1340
79,p_1341
79,p_1342
79,p_1343
79,p_1344
79,p_1345
110,p_1350
110,p_1352
110,p_1354
110,p_1356
124,p_1384
124,p_1385
124,p_1149
124,p_1386
124,p_1387
124,p_1391
140,p_258
140,p_1602
140,p_1603
140,p_1604
140,p_1605
140,p_1606
140,p_1608
140,p_1609
140,p_1610
140,p_1611
140,p_101
146,p_1619
146,p_1620
146,p_1339
146,p_1622
146,p_1623
146,p_1624
146,p_1625
146,p_1626
146,p_1627
146,p_1628
146,p_1629
64,p_1610
149,p_1686
149,p_1687
149,p_1688
149,p_1689
22,p_85
22,p_1709
22,p_378
22,p_1710
22,p_1711
22,p_1712
22,p_1713
22,p_1714
22,p_1715
22,p_1716
22,p_1717
152,p_1748
152,p_1749
152,p_1750
152,p_1751
152,p_1752
152,p_1753
152,p_1754
152,p_1755
152,p_1756
152,p_1757
152,p_1759
157,p_1748
157,p_1749
157,p_1750
157,p_1751
157,p_1752
157,p_1753
157,p_1754
157,p_1795
157,p_1819
156,p_1833
156,p_1643
156,p_1834
156,p_1835
156,p_1019
156,p_1836
156,p_1837
156,p_1838
156,p_1839
156,p_1840
156,p_1841
156,p_1842
168,p_1748
168,p_1749
168,p_1750
168,p_1751
168,p_1752
168,p_1754
168,p_1753
168,p_2021
168,p_2022
168,p_1820
168,p_1819
172,p_1748
172,p_1749
172,p_1750
