movieId,peopleId
11,p_1
20,p_90
64,p_309
79,p_607
81,p_608
67,p_357
99,p_309
100,p_956
101,p_59
102,p_1011
104,p_1071
108,p_1126
109,p_1126
110,p_1126
112,p_1176
124,p_1126
128,p_608
129,p_608
140,p_309
146,p_1614
149,p_185
22,p_1704
152,p_1744
157,p_1749
156,p_1176
168,p_1749
172,p_1748
174,p_1788
189,p_2293
189,p_2294
144,p_2303
193,p_2380
199,p_2388
200,p_2388
201,p_2523
214,p_2675
215,p_2675
216,p_2725
246,p_3317
250,p_3395
252,p_3451
266,p_3776
267,p_309
269,p_3776
292,p_201
302,p_72430
307,p_4410
312,p_4522
337,p_5005
346,p_5026
377,p_5140
336,p_4385
436,p_5872
445,p_6011
454,p_6201
455,p_6220
460,p_6273
471,p_6414
473,p_6431
496,p_6767
497,p_4027
511,p_2801
533,p_7313
533,p_7314
548,p_5026
552,p_7554
570,p_6295
593,p_8452
595,p_8482
596,p_8500
598,p_8557
599,p_3146
531,p_7314
532,p_7314
614,p_6648
613,p_7832
637,p_4818
643,p_9603
644,p_488
648,p_9730
650,p_6482
651,p_9789
601,p_488
666,p_8574
670,p_10099
697,p_9607
697,p_9603
733,p_10828
734,p_3893
671,p_10965
740,p_9032
742,p_11037
763,p_108
772,p_10965
777,p_11528
784,p_11688
789,p_11720
803,p_11983
807,p_7467
827,p_2559
832,p_68
834,p_3950
722,p_13426
880,p_13496
723,p_10139
895,p_8452
931,p_14132
934,p_14227
935,p_240
938,p_4385
962,p_13848
979,p_14597
1018,p_5602
1023,p_1012
1050,p_15156
1075,p_15254
1093,p_15389
1115,p_2332
950,p_5714
515,p_5602
928,p_4600
1277,p_16225
1280,p_1188
298,p_1884
1364,p_16435
1368,p_16544
1379,p_16767
1390,p_15602
1391,p_11218
1398,p_8452
1414,p_16435
1417,p_10828
1494,p_607
1567,p_14597
1591,p_4522
1593,p_17825
1613,p_17268
1628,p_1650
1639,p_2209
1493,p_18281
1643,p_4956
1667,p_18525
1672,p_18563
1675,p_1650
1678,p_18598
1705,p_73764
1735,p_18878
1740,p_18969
1786,p_15389
1793,p_18378
1837,p_19376
1845,p_1146
1273,p_19499
1872,p_19656
1902,p_19840
1958,p_72430
1971,p_20310
1979,p_20400
1995,p_12786
1997,p_2352
2009,p_20657
2084,p_21339
