genreId,genreName
g_11,Space Opera
g_12,Adventure
g_13,Fairy Tale Film
g_13,Fairy-Tale Film
g_14,Fantasy
g_15,Computer Animation
g_15,Computeranimation
g_16,Animation
g_17,Familienfilm
g_17,Family Film
g_18,Drama
g_18,dramatisch
g_19,Romantic Drama
g_20,Dogma 95
g_22,Musical
g_22,Musicals
g_25,Danish Cinema
g_27,Horror
g_28,Action
g_31,War Film
g_32,Anti-War Film
g_33,Romance Film
g_34,Anime
g_34,Anime Film
g_34,Japanese Animation
g_34,Japanese Animation Film
g_35,Comedy
g_35,Funny
g_35,Kom??die
g_36,Historical Film
g_36,Historie
g_36,History
g_37,Western
g_39,Slasher Film
g_43,Utopia & Dystopia
g_44,Social Drama
g_49,Cult Favorite
g_49,Cult Movie
g_50,Hollywood Film
g_51,Time Travel
g_52,Apocalypse & Post-Apocalypse
g_53,Thriller
g_54,Destiny
g_56,Black Comedy
g_56,Dark Comedy
g_56,Dark Comedy Film
g_56,Schwarze Kom??die
g_57,Retro Science Fiction
g_57,Retro SF
g_69,Coming Of Age
g_69,Drama > Coming of Age
g_71,Family Drama
g_72,Dance Film
g_73,Queer Film
g_76,Conspiracy Thriller
g_79,Mysterie
g_79,mysteri??s
g_79,Mystery Thriller
g_80,Crime
g_81,Kung-Fu
g_81,Martial Arts
g_81,Martial-Arts
g_82,Eastern
g_84,Myth
g_85,Comic
g_85,Graphic Novel
g_86,Animalhorror
g_87,Low Budget Film
g_92,Political Drama
g_99,Documentary
g_99,Documentation
g_101,Arranged Documentary
g_101,Staged Documentary
g_103,Natural Disaster
g_104,Blockbuster
g_105,Disaster Film
g_105,katastrophe
g_106,Political Thriller
g_114,Satire
g_115,Satire On Media
g_116,Satire On War
g_117,Political Satire
g_121,Daffy Comedy
g_121,Madcap Comedy
g_121,Screwball Comedy Film
g_122,Tragic Comedy Film
g_122,Tragicomedy
g_124,Slapstick
g_124,Slapstick Comedy Film
g_124,Splatstick
g_124,Splatstick Comedy Film
g_126,Romantic Comedy
g_127,Marital Tragedy
g_129,Coming Out
g_130,Melodrama
g_133,Family Saga
g_134,Justice Drama
g_135,Courtroom Drama
g_135,Forensic
g_136,Espionage
g_136,Secret Agent
g_136,Secret Service
g_136,Spy
g_138,Military Film
g_141,Psychological Thriller
g_142,Erotic Thriller
g_144,Detective Film
g_145,Pirate Film
g_147,Cloak-And-Dagger Film
g_147,Swashbuckler
g_148,Swords and Sandals
g_149,Monumental Film
g_151,High Fantasy
g_152,Sword And Sorcery
g_154,Contemporary Fantasy
g_154,Modern-Day Fantasy
g_154,Urban Fantasy
g_157,Gore Film
g_157,Splatter Film
g_157,Splatter Film / Gore Film
g_158,Monster Film
g_159,Aliens
g_159,Extraterrestrial Monsters
g_161,Werewolf
g_161,Werewolve-Movie
g_163,Vampiremovie
g_163,Vampirfilm
g_164,Zombiefilm
g_165,Satanism
g_166,Obsession
g_168,Occult Horror Film
g_169,Teen Horror Film
g_170,Ghost-House-Movies
g_170,Haunted House Film
g_191,Italo-Western
g_191,Spaghetti Western
g_193,Samurai Film
g_196,Cartoon
g_196,Cel Animation
g_196,Classical Animation
g_196,Hand-Drawn Animation
g_196,Traditional Animation
g_197,Stop Motion
g_202,Political Documentary
g_204,Social Study
g_205,Long Term Documentary
g_206,Event Documentary
g_208,Animal Documentary
g_208,Nature Documentary
g_209,Real Events
g_209,Real Life
g_209,True Story
g_209,wahre Geschichte
g_210,Biography
g_218,Cyberpunk
g_219,Psychodrama
g_227,Nouvelle Vague
g_241,Caper-Movie
g_241,Heist
g_241,Heist Film
g_241,Stick-up
g_245,Multiple Roles
g_249,Mafia Film
g_250,Caper Movie
g_250,Caper-Movie
g_251,Police Film
g_252,Yakuza Film
g_301,Black And White Film
g_302,Art film
g_302,Art House Film
g_303,Independent Film
g_329,Backflash
g_329,Flashback
g_329,R??ckblende
g_353,Art Movie
g_354,Experimental Film
g_354,Experimentalfilm
g_524,New German Film
g_541,Anti Hero
g_644,Film Noir
g_655,Cameo
g_656,Nameless Character
g_684,Non-linear Timeline
g_707,Tragedy
g_807,First-Person Narrator
g_818,Novel
g_861,Bollywood Film
g_863,B-Movie
g_864,Boy Movie
g_864,Dude Film
g_864,Guy Movie
g_865,Chick Flick
g_866,Teen Film
g_867,Adult
g_869,Children's Film
g_871,Explicit Language
g_873,Sexually Explicit
g_874,Violence
g_878,Sci-Fi
g_878,Science Fiction
g_878,Science-Fiction
g_878,SciFi
g_939,Costume Film
g_939,Period Costume Drama
g_1024,Theater Play
g_1024,Theatre Play
g_1032,Flashforward
g_1033,Dream Sequence
g_1033,Traumsequenz
g_1037,Realism
g_1040,Surrealism
g_1041,Minimalism
g_1042,Lolita
g_1043,Latin Lover
g_1044,Tough Kid
g_1045,Movie Stars
g_1047,Guest Appearance
