movieId,title
1,Cowboy Bebop
10,Star Wars
11,Star Wars
11,Star Wars: A New Hope
20,My Life Without Me
22,Pirates of the Caribbean: The Curse of the Black Pearl
36,Simpsons
64,Talk to Her
67,Paradise Now
79,Ying xiong
79,Hero
81,Nausicaa of the Valley of the Wind
81,Nausica?? of the Valley of the Wind
99,All About My Mother
100,"Lock, Stock & Two Smoking Barrels"
101,The Professional
102,Open Hearts
104,Run Lola Run
108,Three Colors: Blue
108,Three Colours: Blue
109,Three Colors: White
109,Three Colours: White
110,Three Colors: Red
110,Three Colours: Red
112,Italian for Beginners
124,No End
128,Princess Mononoke
129,Spirited Away
129,Sen To Chihiro No Kamikakushi
140,Bad Education
144,Wings of Desire
144,Sky Over Berlin
144,Heaven Over Berlin
146,"Crouching Tiger, Hidden Dragon"
146,Wo hu cang long
149,Akira
152,Star Trek: The Motion Picture
156,Wilbur wants to kill himself
156,Wilbur Wants to Kill Himself
157,Star Trek III: The Search for Spock
168,Star Trek IV: The Voyage Home
172,Star Trek V: The Final Frontier
174,Star Trek VI: The Undiscovered Country
189,Sin City: A Dame to Kill For
193,Star Trek: Generations
199,Star Trek: First Contact
200,Star Trek: Insurrection
201,Star Trek: Nemesis
214,Saw III
215,Saw II
216,Ali: Fear Eats the Soul
216,Fear Eats the Soul
246,Der blinde Samurai
246,Zatoichi
250,In China They Eat Dogs
252,Willy Wonka & the Chocolate Factory
266,Contempt
267,Live Flesh
269,Breathless
292,Block Party
298,Ocean's Thirteen
302,Swimming Pool
307,"Rome, Open City"
307,Open City
312,Beyond Silence
336,"Duck, You Sucker"
336,A Fistful of Dynamite
337,Monsieur Ibrahim
346,Seven Samurai
346,Shichinin no samurai
377,Nightmare on Elm Street
436,Maria Full of Grace
445,Hidden
454,William Shakespeare's Romeo + Juliet
454,William Shakespeare's Romeo & Juliet
455,Bend It Like Beckham
460,Go for Zucker
471,Bastard
472,Northwest Passage
472,1
473,Pi
496,Borat
497,Green Mile
511,Promised Land
515,Coma
531,The Wrong Trousers 
531,Wallace & Gromit: The Wrong Trousers
532,Wallace & Gromit: A Close Shave
532,A Close Shave
533,Wallace & Gromit in The Curse of the Were-Rabbit
533,The Curse of the Were-Rabbit
548,Rashomon
552,Bread and Tulips
570,Fat Girl
593,Solaris
593,Solyaris
595,To Kill a Mockingbird
596,Grapes of Wrath
598,City of God
599,Sunset Boulevard
599,Sunset Blvd.
601,E.T.
613,The Downfall
613,Downfall
614,Wild Strawberries
628, Interview with a Vampire: The Vampire Chronicles
628,Interview with the Vampire
637,Life Is Beautiful
643,The Battleship Potemkin
643,Battleship Potemkin
644,A.I. Artificial Intelligence
648,Beauty and the Biest
648,Beauty and the Beast
650,Boyz N the Hood
650,Boyz'n The Hood
650,Boys in the Hood
651,Mash
651,M*A*S*H
663,Saw IV
666,Central Station
670,Oldboy
671,Harry Potter and the Sorcerer's Stone
671,Harry Potter and the Philosopher's Stone
697,October (Ten Days that Shook the World)
697,October
722,Naked Gun 33 1/3: The Final Insult
722,The Naked Gun 33 1/3: The Final Insult
723,Triumph of the Will
733,Blade II
734,Blade: Trinity
740,X-Men 2
740,X2: X-Men United
742,Together
763,Dead Alive
772,Home Alone 2: Lost in New York
777,Grand Illustion
777,Grand Illusion
784,Kolya
789,Closely Watched Trains
803,Night and Fog
807,Seven
811,Silent Running
827,Diabolique
832,M
834,Underworld: Evolution
880,Antonia's Line
895,Andrei Rublev
895,Andrei Rublyov
895,Andrey Rublyov
895,Andrey Rublev
928,Gremlins 2
931,Don't Look Now
934,Rififi
935,Dr. Strangelove
938,For a Few Dollars More
950,Ice Age 2
950,Ice Age The Meltdown
950,Ice Age 2: The Meltdown
962,Gold Rush
979,Irreversible
1018,Mulholland Dr.
1023,Adam's Apples
1050,Shower
1075,"Black Cat, White Cat"
1093,Elevator to the Gallows
1115,Ghosts
1245,Remains of the Day
1273,Teenage Mutant Ninja Turtles
1277,Gloomy Sunday
1280,3-Iron
1364,Sex and Lucia
1368,Rambo: First Blood
1368,Rambo I
1379,Lights in the Dusk
1390,Mondays in the Sun
1391,And Your Mother Too
1396,The Mirror
1396,Mirror 
1398,Stalker
1414,Lovers of the Arctic Circle
1417,Pan's Labyrinth
1493,Miss Congeniality
1494,Curse of the Golden Flower
1567,I Stand Alone
1567,n The Bowels Of France - I Stand Alone
1591,Nowhere in Africa
1593,Night at the Museum
1613,Formula 51
1628,Jules and Jim
1639,Speed 2
1643,Last Tango in Paris
1667,March of the Penguins
1667,The Emperor's Journey
1667,The March of the Penguins
1672,The Professional
1675,Day for Night
1678,Godzilla
1698,Anatomy
1704,"House, M.D."
1704,House
1705,Battle for the Planet of the Apes
1735,Mummy: Tomb of the Dragon Emperor
1740,Naked
1786,Au revoir les enfants
