peopleId,personName,personBirthdate
p_1,George Lucas,1944-05-14
p_2,Mark Hamill,1951-09-25
p_3,Harrison Ford,1942-07-13
p_4,Carrie Fisher,1956-10-21
p_5,Peter Cushing,1913-05-26
p_6,Anthony Daniels,1946-02-21
p_7,Andrew Stanton,1965-12-03
p_13,Albert Brooks,1947-07-22
p_31,Tom Hanks,1956-07-09
p_32,Robin Wright,1966-04-08
p_33,Gary Sinise,1955-03-17
p_35,Sally Field,1946-11-06
p_40,Orson Welles,1915-05-06
p_42,Lars von Trier,1956-04-30
p_48,Sean Bean,1959-04-17
p_49,Maria Bello,1967-04-18
p_50,Catherine Deneuve,1943-10-22
p_52,David Morse,1953-10-11
p_53,Peter Stormare,1953-08-27
p_59,Luc Besson,1959-03-18
p_62,Bruce Willis,1957-03-19
p_64,Gary Oldman,1958-03-21
p_68,Fritz Lang,
p_74,Gustav Fr??hlich,1902-03-21
p_77,Rudolf Klein-Rogge,
p_79,Theodor Loos,
p_85,Johnny Depp,1963-06-09
p_90,Isabel Coixet,1960-04-09
p_98,Sarah Polley,1979-01-08
p_99,Amanda Plummer,1957-03-23
p_100,Scott Speedman,1975-09-01
p_101,Leonor Watling,1975-07-28
p_102,Deborah Harry,1945-07-01
p_103,Mark Ruffalo,1967-11-22
p_108,Peter Jackson,1961-10-31
p_109,Elijah Wood,1981-01-28
p_110,Viggo Mortensen,1958-10-20
p_112,Cate Blanchett,1969-05-14
p_113,Christopher Lee,1922-05-27
p_114,Orlando Bloom,1977-01-13
p_116,Keira Knightley,1985-03-26
p_118,Geoffrey Rush,1951-08-06
p_130,Kenny Baker,1934-08-24
p_133,Peter Sarsgaard,1971-03-07
p_139,Uma Thurman,1970-04-29
p_140,Lucy Liu,1968-12-02
p_147,Michael Madsen,1957-09-25
p_150,RZA,1969-07-05
p_164,Lior Ashkenazi,1969-12-28
p_165,Knut Berger,
p_167,Gideon Shemer,
p_172,Michael Winterbottom,1961-03-29
p_183,Koji Morimoto,
p_185,Katsuhiro ??tomo,1954-04-14
p_190,Clint Eastwood,1930-05-31
p_192,Morgan Freeman,1937-06-01
p_193,Gene Hackman,1930-01-30
p_194,Richard Harris,1930-10-01
p_201,Michel Gondry,1963-05-08
p_205,Kirsten Dunst,1982-04-30
p_206,Jim Carrey,1962-01-17
p_211,Debbon Ayer,
p_227,William Hurt,1950-03-20
p_228,Ed Harris,1950-11-28
p_229,Peter MacNeill,
p_230,Stephen McHattie,1947-02-03
p_231,Greg Bryk,1972-08-19
p_240,Stanley Kubrick,1928-07-26
p_245,Keir Dullea,1936-05-30
p_251,Robert Beatty,
p_258,Gael Garc??a Bernal,1978-11-30
p_287,Brad Pitt,1963-12-18
p_288,Jon Seda,1970-10-14
p_289,Madeleine Stowe,1958-08-18
p_290,Christopher Plummer,1929-12-13
p_309,Pedro Almod??var,1949-09-25
p_335,Michael Shannon,1974-08-07
p_336,Xzibit,1974-09-18
p_343,Taryn Manning,1978-11-06
p_352,Dennis Haysbert,1954-06-02
p_357,Hany Abu-Assad,1961-10-11
p_366,James Mangold,1964-12-01
p_367,Joaquin Phoenix,1974-10-28
p_368,Reese Witherspoon,1976-03-22
p_378,Jonathan Pryce,1947-06-01
p_380,Robert De Niro,1943-08-17
p_382,Bob Hoskins,1942-10-26
p_385,Ian Richardson,1934-04-07
p_386,Peter Vaughan,1923-04-04
p_388,Jim Broadbent,1949-05-24
p_398,Rosario Flores,1963-11-04
p_399,Mariola Fuentes,1970-08-12
p_400,Geraldine Chaplin,1944-07-31
p_402,Pina Bausch,1940-07-27
p_418,Robert Patrick,1958-11-05
p_452,Margo Martindale,1951-07-18
p_477,Julie Walters,1950-02-22
p_478,Jamie Bell,1986-03-14
p_488,Steven Spielberg,1946-12-18
p_500,Tom Cruise,1962-07-03
p_506,John Scurti,
p_508,David Koepp,1963-06-09
p_510,Tim Burton,1958-08-25
p_514,Jack Nicholson,1937-04-22
p_515,Glenn Close,1947-03-19
p_516,Annette Bening,1958-05-05
p_517,Pierce Brosnan,1953-05-16
p_522,Rod Steiger,1925-04-14
p_524,Natalie Portman,1981-06-09
p_528,Sylvia Sidney,1910-08-08
p_529,Guy Pearce,1967-10-05
p_534,Mark Boone Junior,1955-03-17
p_537,Stephen Tobolowsky,1951-05-30
p_539,Thomas Lennon,1970-08-09
p_540,Callum Keith Rennie,1960-09-14
p_543,Marianne Muellerleile,
p_564,Richard Linklater,1960-07-30
p_569,Ethan Hawke,1970-11-06
p_575,Ernie Mangold,1927-01-26
p_578,Ridley Scott,1937-11-30
p_585,Rutger Hauer,1944-01-23
p_586,Sean Young,1959-11-20
p_587,Edward James Olmos,1947-02-24
p_593,Joanna Cassidy,1945-08-02
p_607,Zhang Yimou,1951-11-14
p_608,Hayao Miyazaki,1941-01-05
p_613,Sumi Shimamoto,
p_616,Gor?? Naya,1929-11-17
p_617,Ichir?? Nagai,
p_622,Y??ji Matsuda,
p_623,M??na Tominaga,
p_624,Yoshiko Sakakibara,
p_628,Isao Takahata,1935-10-29
p_643,Gong Li,1965-12-31
p_649,Vernon Dobtcheff,1934-08-14
p_650,Karen Allen,1951-10-05
p_654,Rodolphe Pauly,
p_655,John Rhys-Davies,1944-05-05
p_658,Alfred Molina,1953-05-24
p_663,William Hootkins,1948-07-05
p_672,Oskar Roehler,1959-01-21
